Are there null values ?,,,Claims with respect to Age :,,,Avergae BMI in each city :,,,Total number of employes per job title:,,,Percentage of gender:,,,Total claims for smokers/nonsmokers:,,,Avg Claims per Diabetic Patients:,,,Avg claims per excersisng people/non-excersisng:,,,Avg claim for number of policy holders and their counts:,,,,,Avg claims per job title and their counts :,,,,,Avg claims(highest and lowest) per state:,,,Avg claims per herdiatary disease:,
,,,,,,Salina,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KanasCity,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brookings,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Boston,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Phildelphia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fargo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Canton,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pittsburg,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Buffalo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cambridge,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hartford,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Springfield,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SantaRosa,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Syracuse,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanJose,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LosAngeles,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oxnard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanDeigo,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oceanside,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carlsbad,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montrose,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prescott,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fresno,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reno,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LasVegas,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tucson,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanLuis,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NewYork,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,York,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bakersfield,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SilverCity,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pheonix,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SantaFe,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lovelock,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cleveland,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbia,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Trenton,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SanFrancisco,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mexicali,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IowaCity,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minneapolis,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GrandForks,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brimingham,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
