"country","life_expectancy","healthcare_expenditure","gdp","che_per_capita"
"Saint Kitts and Nevis","71.6","0.0537","18566.02","996.99"
"Saint Lucia","73.4","0.0674","9020.31","607.97"
"Samoa","72.8","0.0533","3857.78","205.62"
"San Marino","79.6","0.0869","45423.41","3947.29"
"Sao Tome and Principe","67.8","0.0491","2179.2","107"
"Saudi Arabia","76.2","0.0536","19539.56","1047.32"
"Senegal","68","0.0515","1490.53","76.76"
"Serbia","75.4","0.0873","7248.57","632.8"
"Seychelles","73.5","0.0639","11214.74","716.62"
"Sierra Leone","59.8","0.0876","493.43","43.22"
"Singapore","82.9","0.0605","58425.24","3534.73"
"Slovakia","77","0.0723","19553.43","1413.71"
"Slovenia","80.4","0.0945","25361.62","2396.67"
"Solomon Islands","70.2","0.0443","2222.46","98.46"
"South Africa","65.3","0.0858","5741.64","492.63"
"South Sudan","55.5","0.0525","397.46","20.87"
"Spain","82.3","0.1071","26960.73","2887.49"
"Sri Lanka","76.4","0.0407","3728.73","151.76"
"Sudan","65.6","0.0302","771.5","23.3"
"Suriname","72.6","0.0677","6851.19","463.83"
"Sweden","82.4","0.1138","52758.78","6003.95"
"Switzerland","83.1","0.118","87079.73","10275.4"
"Tajikistan","68","0.0818","852.33","69.72"
"Thailand","79.3","0.0436","6998.54","305.14"
"Togo","61","0.0596","868.9","51.79"
"Tonga","70.9","0.0532","4626.18","246.11"
"Trinidad and Tobago","74.4","0.0731","13871.8","1014.03"
"Tunisia","75.3","0.0634","3497.73","221.76"
"Turkmenistan","68.7","0.0568","7381.05","419.24"
"Tuvalu","64.4","0.2154","4675.4","1007.08"
"Uganda","62.9","0.0396","857.14","33.94"
"Ukraine","72.6","0.0762","3566.82","271.79"
"United Arab Emirates","78.9","0.0567","38463.16","2180.86"
"Uruguay","78.4","0.0915","15619.55","1429.19"
"Uzbekistan","70.3","0.0675","1786.47","120.59"
"Vanuatu","70.3","0.0397","2917.76","115.83"
"Yemen","64.7","0.078","291.68","22.75"
"Zambia","62.4","0.0562","956.83","53.77"
"Zimbabwe","61.1","0.0343","1382.59","47.42"
